Date	Identifier	% End Wgt	Tot Rtn 1Q	Tot Rtn YTD	Tot Rtn 1Y	Tot Rtn 3Y (A)	Tot Rtn 5Y (A)
12-31-24	iShares MSCI ACWI ETF (ACWI US)	100.00	-0.90	18.00	18.00	6.02	10.62
12-31-24	Energy	3.83	-3.82	2.53	2.53	14.66	8.30
12-31-24	Financials	16.78	2.70	24.95	24.95	9.38	9.59
12-31-24	Health Care	9.68	-11.34	1.56	1.56	-0.12	6.30
12-31-24	Industrials	10.22	-4.76	12.63	12.63	6.27	9.38
12-31-24	Information Technology	25.94	4.31	32.02	32.02	11.77	22.54
12-31-24	Materials	3.46	-15.04	-7.71	-7.71	-2.20	5.28
12-31-24	Real Estate	2.04	-8.95	2.97	2.97	-4.69	0.48
12-31-24	Utilities	2.49	-8.51	13.33	13.33	3.26	5.04
12-31-24	Communication Services	8.17	4.84	31.68	31.68	6.02	10.56
12-31-24	Consumer Discretionary	11.40	5.50	20.91	20.91	2.26	9.81
12-31-24	Consumer Staples	5.87	-7.02	4.70	4.70	0.13	4.27
12-31-24	Not Classified	0.11	0.00	1.44	1.44	-0.12	1.21
3-31-25	iShares MSCI ACWI ETF (ACWI US)	100.00	-1.18	-1.18	7.71	7.45	15.76
3-31-25	Energy	4.18	9.53	9.53	2.60	9.84	23.97
3-31-25	Financials	18.06	6.21	6.21	21.26	11.94	19.00
3-31-25	Health Care	10.29	5.07	5.07	-0.43	2.85	10.00
3-31-25	Industrials	10.57	2.39	2.39	5.61	9.29	16.82
3-31-25	Information Technology	23.30	-11.59	-11.59	4.14	11.28	22.87
3-31-25	Materials	3.68	5.02	5.02	-4.99	-1.86	13.42
3-31-25	Real Estate	2.13	3.03	3.03	6.95	-2.03	6.53
3-31-25	Utilities	2.68	6.48	6.48	18.38	5.05	9.92
3-31-25	Communication Services	8.07	-2.55	-2.55	15.18	8.89	13.92
3-31-25	Consumer Discretionary	10.71	-7.35	-7.35	5.73	3.91	13.45
3-31-25	Consumer Staples	6.27	5.78	5.78	7.82	3.43	8.74
3-31-25	Not Classified	0.05	0.05	0.05	0.89	0.34	6.77
6-30-25	iShares MSCI ACWI ETF (ACWI US)	100.00	11.71	10.39	16.81	17.88	14.23
6-30-25	Energy	3.56	-3.49	5.71	-0.41	10.02	19.18
6-30-25	Financials	17.82	10.65	17.53	33.70	22.65	18.16
6-30-25	Health Care	8.85	-3.53	1.36	-4.35	4.17	6.12
6-30-25	Industrials	10.93	15.53	18.29	24.12	21.58	16.46
6-30-25	Information Technology	25.86	23.37	9.07	15.27	29.70	21.41
6-30-25	Materials	3.55	6.65	12.00	4.34	7.83	9.65
6-30-25	Real Estate	1.96	3.76	6.90	14.10	4.15	4.94
6-30-25	Utilities	2.61	8.41	15.43	23.26	10.47	10.18
6-30-25	Communication Services	8.50	17.82	14.82	25.51	22.96	13.54
6-30-25	Consumer Discretionary	10.45	9.12	1.11	16.87	15.42	9.76
6-30-25	Consumer Staples	5.81	3.74	9.74	11.73	6.99	7.40
6-30-25	Not Classified	0.10	0.17	0.22	0.40	0.58	4.51
9-30-25	iShares MSCI ACWI ETF (ACWI US)	100.00	7.73	18.92	17.85	23.68	14.12
9-30-25	Energy	3.46	5.57	11.60	7.34	12.69	24.21
9-30-25	Financials	17.36	4.88	23.26	26.59	27.19	18.62
9-30-25	Health Care	8.46	3.44	4.85	-7.04	7.88	5.86
9-30-25	Industrials	10.67	4.83	24.01	18.10	25.90	15.17
9-30-25	Information Technology	27.04	12.82	23.06	28.37	38.59	21.33
9-30-25	Materials	3.63	11.00	24.31	5.62	14.67	9.54
9-30-25	Real Estate	1.86	2.84	9.94	0.10	9.52	4.93
9-30-25	Utilities	2.54	5.23	21.47	11.13	15.40	10.44
9-30-25	Communication Services	8.79	11.75	28.31	34.51	33.97	14.44
9-30-25	Consumer Discretionary	10.87	9.76	10.98	17.08	20.22	8.18
9-30-25	Consumer Staples	5.25	-1.60	7.98	0.41	8.77	5.46
9-30-25	Not Classified	0.06	0.00	0.23	0.23	0.88	2.22
12-31-25	iShares MSCI ACWI ETF (ACWI US)	100.00	3.37	22.93	22.93	21.19	11.76
12-31-25	Energy	3.41	2.79	14.71	14.71	7.79	19.25
12-31-25	Financials	17.61	5.01	29.45	29.45	23.75	15.17
12-31-25	Health Care	9.02	9.90	15.22	15.22	6.80	6.31
12-31-25	Industrials	10.62	1.98	26.46	26.46	20.19	12.18
12-31-25	Information Technology	27.16	2.92	26.65	26.65	37.43	18.58
12-31-25	Materials	3.72	6.47	32.36	32.36	11.31	7.23
12-31-25	Real Estate	1.75	-2.28	7.43	7.43	6.57	2.68
12-31-25	Utilities	2.54	2.28	24.23	24.23	12.43	8.84
12-31-25	Communication Services	8.82	3.44	32.72	32.72	34.29	12.00
12-31-25	Consumer Discretionary	10.19	-0.47	10.45	10.45	20.31	5.14
12-31-25	Consumer Staples	5.09	1.10	9.17	9.17	5.43	4.13
12-31-25	Not Classified	0.06	0.00	0.23	0.23	0.88	-0.35
3-31-26	iShares MSCI ACWI ETF (ACWI US)	100.00	-3.11	-3.11	20.53	17.12	10.03
3-31-26	Energy	4.66	33.82	33.82	40.14	19.90	22.03
3-31-26	Financials	16.89	-6.52	-6.52	13.93	21.21	11.59
3-31-26	Health Care	8.88	-4.45	-4.45	4.79	5.74	5.21
3-31-26	Industrials	11.26	2.53	2.53	26.64	18.62	11.16
3-31-26	Information Technology	26.35	-6.71	-6.71	33.64	25.62	16.41
3-31-26	Materials	4.08	6.59	6.59	34.33	11.72	7.35
3-31-26	Real Estate	1.76	0.23	0.23	4.51	6.48	1.52
3-31-26	Utilities	2.84	8.53	8.53	26.62	15.73	10.38
3-31-26	Communication Services	8.44	-7.79	-7.79	25.58	24.01	8.77
3-31-26	Consumer Discretionary	9.37	-10.80	-10.80	6.33	10.59	2.26
3-31-26	Consumer Staples	5.41	3.47	3.47	6.79	5.51	4.90
3-31-26	Not Classified	0.05	0.00	0.00	0.17	0.88	-1.10
6-30-26	iShares MSCI ACWI ETF (ACWI US)	100.00	15.24	11.66	24.34	20.32	11.59
6-30-26	Energy	3.53	-12.83	16.65	26.59	14.21	16.49
6-30-26	Financials	16.17	11.49	4.22	14.79	23.55	12.58
6-30-26	Health Care	8.25	6.66	1.92	15.86	7.19	4.65
6-30-26	Industrials	11.06	12.75	15.60	23.58	21.00	12.83
6-30-26	Information Technology	32.03	39.17	29.84	50.76	33.92	21.79
6-30-26	Materials	3.61	0.31	6.92	26.35	12.10	6.19
6-30-26	Real Estate	1.58	5.92	6.16	6.68	8.34	1.12
6-30-26	Utilities	2.49	0.35	8.91	17.21	15.89	10.47
6-30-26	Communication Services	7.81	6.03	-2.22	13.02	23.47	8.33
6-30-26	Consumer Discretionary	8.70	7.87	-3.78	5.11	10.36	2.65
6-30-26	Consumer Staples	4.72	1.80	5.33	4.79	6.08	4.04
6-30-26	Not Classified	0.05	0.00	0.00	0.00	0.96	-0.54
