Date	Identifier	% End Wgt	Tot Rtn 1Q	Tot Rtn YTD	Tot Rtn 1Y	Tot Rtn 3Y (A)	Tot Rtn 5Y (A)
12-31-24	iShares MSCI EAFE ETF (EFA US)	100.00	-8.04	4.33	4.33	2.20	5.19
12-31-24	Energy	3.54	-8.16	-9.86	-9.86	9.41	3.58
12-31-24	Financials	21.76	-2.24	21.83	21.83	11.74	9.61
12-31-24	Health Care	12.59	-14.07	-0.77	-0.77	-0.91	3.61
12-31-24	Industrials	17.65	-6.36	10.13	10.13	4.20	7.47
12-31-24	Information Technology	8.71	-7.15	4.01	4.01	-1.05	9.53
12-31-24	Materials	6.05	-17.82	-12.65	-12.65	-1.73	4.93
12-31-24	Real Estate	1.97	-13.61	-3.75	-3.75	-5.89	-4.00
12-31-24	Utilities	3.21	-12.77	-3.35	-3.35	0.25	2.86
12-31-24	Communication Services	4.50	-5.38	8.23	8.23	2.94	3.36
12-31-24	Consumer Discretionary	11.46	-3.99	3.13	3.13	-1.14	4.12
12-31-24	Consumer Staples	8.07	-12.64	-7.91	-7.91	-5.54	-0.68
12-31-24	Not Classified	0.48	0.34	1.17	1.17	-1.17	-1.58
3-31-25	iShares MSCI EAFE ETF (EFA US)	100.00	7.03	7.03	5.51	6.64	12.27
3-31-25	Energy	3.78	15.20	15.20	1.40	8.92	16.32
3-31-25	Financials	23.58	15.35	15.35	29.35	17.83	21.66
3-31-25	Health Care	12.17	3.00	3.00	-2.61	1.33	6.22
3-31-25	Industrials	17.81	7.06	7.06	9.21	10.57	15.86
3-31-25	Information Technology	8.03	-2.49	-2.49	-11.27	4.14	12.95
3-31-25	Materials	5.75	2.32	2.32	-9.66	-2.09	12.19
3-31-25	Real Estate	1.86	1.46	1.46	-3.92	-4.58	2.66
3-31-25	Utilities	3.37	12.60	12.60	14.50	5.57	8.63
3-31-25	Communication Services	4.71	10.52	10.52	15.62	6.16	9.71
3-31-25	Consumer Discretionary	10.66	-0.14	-0.14	-7.47	3.87	10.86
3-31-25	Consumer Staples	8.27	8.43	8.43	3.24	-0.32	3.93
3-31-25	Not Classified	0.02	0.04	0.04	0.92	0.05	-1.31
6-30-25	iShares MSCI EAFE ETF (EFA US)	100.00	12.07	19.95	18.36	16.60	11.68
6-30-25	Energy	3.26	-1.39	13.60	-1.37	9.78	16.03
6-30-25	Financials	23.81	14.13	31.65	42.19	29.38	21.56
6-30-25	Health Care	11.24	2.99	6.08	-4.32	5.80	3.98
6-30-25	Industrials	18.99	18.01	26.34	29.54	25.00	15.88
6-30-25	Information Technology	8.47	19.10	16.14	5.29	20.84	11.79
6-30-25	Materials	5.62	8.50	11.02	1.03	8.82	9.23
6-30-25	Real Estate	1.90	16.88	18.59	20.31	6.44	4.07
6-30-25	Utilities	3.50	17.18	31.94	32.49	15.88	9.38
6-30-25	Communication Services	5.10	20.54	33.22	39.56	16.60	10.99
6-30-25	Consumer Discretionary	10.09	6.19	6.05	7.23	12.26	8.65
6-30-25	Consumer Staples	7.97	8.13	17.24	12.90	5.23	3.58
6-30-25	Not Classified	0.04	0.61	0.66	1.22	0.53	0.59
9-30-25	iShares MSCI EAFE ETF (EFA US)	100.00	4.92	25.85	15.73	22.37	11.70
9-30-25	Energy	3.23	5.72	20.10	10.30	13.76	20.60
9-30-25	Financials	24.71	8.62	43.00	39.80	37.43	23.75
9-30-25	Health Care	10.79	1.11	7.25	-7.84	10.14	3.62
9-30-25	Industrials	19.31	6.00	33.92	25.39	31.12	14.95
9-30-25	Information Technology	8.32	3.09	19.72	11.16	25.62	10.81
9-30-25	Materials	5.64	5.84	17.50	-3.44	14.37	8.21
9-30-25	Real Estate	1.89	4.03	23.37	6.57	13.10	4.27
9-30-25	Utilities	3.42	1.49	33.91	16.80	22.09	9.13
9-30-25	Communication Services	4.91	1.26	34.89	27.63	23.04	10.35
9-30-25	Consumer Discretionary	10.22	6.97	13.43	8.91	18.97	8.11
9-30-25	Consumer Staples	7.53	-0.90	16.19	1.51	7.47	2.43
9-30-25	Not Classified	0.04	-0.64	0.01	0.35	0.42	-0.27
12-31-25	iShares MSCI EAFE ETF (EFA US)	100.00	4.87	31.98	31.98	17.86	9.48
12-31-25	Energy	3.17	5.74	26.99	26.99	9.12	15.64
12-31-25	Financials	25.29	7.63	53.91	53.91	31.07	20.06
12-31-25	Health Care	11.37	9.69	17.64	17.64	8.64	4.68
12-31-25	Industrials	19.17	3.10	38.06	38.06	24.93	12.27
12-31-25	Information Technology	8.39	4.12	24.66	24.66	21.33	8.50
12-31-25	Materials	5.56	7.21	25.97	25.97	9.86	5.77
12-31-25	Real Estate	1.82	1.12	24.75	24.75	9.59	1.64
12-31-25	Utilities	3.66	10.08	47.41	47.41	18.86	8.42
12-31-25	Communication Services	4.33	-7.31	25.03	25.03	15.91	5.57
12-31-25	Consumer Discretionary	9.83	1.33	14.95	14.95	13.19	3.99
12-31-25	Consumer Staples	7.39	3.65	20.43	20.43	5.19	1.78
12-31-25	Not Classified	0.02	0.00	0.01	0.01	0.43	-2.25
3-31-26	iShares MSCI EAFE ETF (EFA US)	100.00	-1.14	-1.14	21.90	14.23	8.46
3-31-26	Energy	4.43	40.12	40.12	54.46	21.80	21.12
3-31-26	Financials	24.53	-3.50	-3.50	28.76	28.34	17.14
3-31-26	Health Care	11.17	-2.59	-2.59	11.27	5.73	4.88
3-31-26	Industrials	19.39	-0.22	-0.22	28.67	20.24	10.94
3-31-26	Information Technology	8.45	-1.51	-1.51	25.90	13.70	7.48
3-31-26	Materials	5.99	6.96	6.96	31.69	9.59	6.10
3-31-26	Real Estate	1.81	-1.88	-1.88	20.64	9.57	0.75
3-31-26	Utilities	4.17	11.04	11.04	45.37	19.86	11.21
3-31-26	Communication Services	4.26	-3.36	-3.36	9.33	11.40	4.06
3-31-26	Consumer Discretionary	8.51	-14.61	-14.61	-1.71	1.62	-0.43
3-31-26	Consumer Staples	7.23	-2.85	-2.85	7.90	1.62	1.74
3-31-26	Not Classified	0.06	0.00	0.00	-0.03	0.57	-1.26
6-30-26	iShares MSCI EAFE ETF (EFA US)	100.00	11.10	9.84	20.86	17.06	9.63
6-30-26	Energy	3.31	-17.02	16.28	29.99	14.35	16.00
6-30-26	Financials	25.08	14.39	10.38	29.05	31.97	19.46
6-30-26	Health Care	10.42	2.67	0.02	10.93	5.91	3.55
6-30-26	Industrials	18.94	9.05	8.81	18.91	21.18	12.06
6-30-26	Information Technology	12.07	55.23	52.88	64.10	29.11	15.52
6-30-26	Materials	5.98	6.70	14.13	29.50	12.53	6.40
6-30-26	Real Estate	1.59	1.29	-0.61	4.56	10.73	-0.06
6-30-26	Utilities	3.89	1.37	12.56	25.76	18.65	11.71
6-30-26	Communication Services	3.77	-1.18	-4.50	-10.37	11.30	3.77
6-30-26	Consumer Discretionary	8.20	8.50	-7.36	0.42	2.80	0.15
6-30-26	Consumer Staples	6.75	5.69	2.68	5.47	3.64	1.15
6-30-26	Not Classified	-0.01	0.00	0.00	-0.64	0.57	-1.68
