Date	Identifier	% End Wgt	Tot Rtn 1Q	Tot Rtn YTD	Tot Rtn 1Y	Tot Rtn 3Y (A)	Tot Rtn 5Y (A)
12-31-24	iShares MSCI Emerging Markets ETF (EEM US)	100.00	-7.85	6.93	6.93	-0.97	2.34
12-31-24	Energy	4.56	-12.15	-6.50	-6.50	4.16	3.48
12-31-24	Financials	24.10	-5.39	9.43	9.43	5.21	3.18
12-31-24	Health Care	3.40	-11.59	-0.88	-0.88	-9.26	-1.46
12-31-24	Industrials	6.56	-10.76	1.14	1.14	-1.47	1.61
12-31-24	Information Technology	23.90	1.55	21.02	21.02	2.31	13.69
12-31-24	Materials	5.78	-18.34	-20.03	-20.03	-9.90	0.07
12-31-24	Real Estate	1.63	-6.56	4.99	4.99	-6.81	-10.75
12-31-24	Utilities	2.68	-13.88	3.51	3.51	0.98	2.27
12-31-24	Communication Services	9.28	-8.06	16.23	16.23	-4.52	0.24
12-31-24	Consumer Discretionary	12.99	-14.57	11.39	11.39	-5.20	-3.76
12-31-24	Consumer Staples	4.77	-13.70	-10.85	-10.85	-5.96	-2.98
12-31-24	Not Classified	0.36	4.03	-2.08	-2.08	1.21	1.00
3-31-25	iShares MSCI Emerging Markets ETF (EEM US)	100.00	3.38	3.38	7.84	1.91	8.75
3-31-25	Energy	4.49	3.36	3.36	-8.58	6.67	15.33
3-31-25	Financials	24.67	6.72	6.72	13.88	5.14	12.65
3-31-25	Health Care	3.26	1.11	1.11	4.89	-4.18	0.95
3-31-25	Industrials	6.21	0.39	0.39	-0.37	-0.37	9.09
3-31-25	Information Technology	21.11	-8.69	-8.69	0.54	3.43	16.04
3-31-25	Materials	6.96	10.73	10.73	-7.77	-9.29	9.95
3-31-25	Real Estate	1.63	0.89	0.89	12.51	-6.04	-5.29
3-31-25	Utilities	2.56	1.23	1.23	1.03	0.91	8.90
3-31-25	Communication Services	10.00	12.69	12.69	29.77	2.45	4.75
3-31-25	Consumer Discretionary	14.25	13.10	13.10	26.44	4.81	2.69
3-31-25	Consumer Staples	4.65	2.14	2.14	-4.90	-2.62	1.65
3-31-25	Not Classified	0.20	-2.63	-2.63	-6.50	0.42	0.34
6-30-25	iShares MSCI Emerging Markets ETF (EEM US)	100.00	12.01	15.80	15.11	9.94	7.59
6-30-25	Energy	4.30	6.42	10.00	-5.40	8.65	11.90
6-30-25	Financials	24.86	13.47	21.10	24.55	15.08	13.76
6-30-25	Health Care	3.17	7.75	8.95	18.27	1.15	-3.55
6-30-25	Industrials	6.80	21.63	22.10	15.93	10.02	9.88
6-30-25	Information Technology	23.46	24.32	13.51	12.26	20.12	16.77
6-30-25	Materials	6.79	7.32	18.83	1.32	-0.19	6.76
6-30-25	Real Estate	1.55	6.61	7.56	16.00	-2.74	-5.25
6-30-25	Utilities	2.52	7.26	8.57	1.98	4.95	8.16
6-30-25	Communication Services	9.61	9.25	23.11	31.05	9.58	2.21
6-30-25	Consumer Discretionary	12.52	-2.28	10.52	17.93	2.04	-1.91
6-30-25	Consumer Staples	4.39	5.67	7.93	3.64	0.54	-0.08
6-30-25	Not Classified	0.03	0.25	-2.39	-9.28	0.50	0.39
9-30-25	iShares MSCI Emerging Markets ETF (EEM US)	100.00	10.69	28.18	18.12	18.49	7.82
9-30-25	Energy	3.80	0.06	10.06	-3.31	10.50	12.04
9-30-25	Financials	22.07	0.92	22.21	15.62	17.52	14.02
9-30-25	Health Care	3.30	10.58	20.48	6.52	9.85	-2.27
9-30-25	Industrials	6.39	4.78	27.94	14.17	15.66	10.52
9-30-25	Information Technology	24.36	17.35	33.21	35.27	33.87	16.08
9-30-25	Materials	7.15	19.29	41.76	15.75	9.13	8.19
9-30-25	Real Estate	1.37	1.99	9.70	2.51	4.91	-5.40
9-30-25	Utilities	2.23	3.76	12.65	-2.99	7.78	9.97
9-30-25	Communication Services	10.13	19.44	47.05	35.20	24.86	5.35
9-30-25	Consumer Discretionary	15.26	18.87	31.38	12.23	15.81	-3.10
9-30-25	Consumer Staples	3.85	1.37	9.40	-5.59	2.85	-0.49
9-30-25	Not Classified	0.07	0.00	-2.39	1.54	0.58	0.39
12-31-25	iShares MSCI Emerging Markets ETF (EEM US)	100.00	4.70	34.20	34.20	16.62	4.98
12-31-25	Energy	3.93	6.83	17.58	17.58	11.72	10.42
12-31-25	Financials	22.65	6.08	29.64	29.64	17.05	10.56
12-31-25	Health Care	3.03	-7.05	11.98	11.98	2.90	-7.09
12-31-25	Industrials	6.89	6.18	35.85	35.85	13.47	7.21
12-31-25	Information Technology	27.69	16.39	55.05	55.05	35.61	12.76
12-31-25	Materials	7.95	10.85	57.14	57.14	8.63	4.78
12-31-25	Real Estate	1.31	-3.61	5.74	5.74	0.80	-7.10
12-31-25	Utilities	2.24	1.83	14.71	14.71	6.75	6.13
12-31-25	Communication Services	9.20	-6.57	37.40	37.40	16.89	1.63
12-31-25	Consumer Discretionary	11.46	-9.03	19.52	19.52	8.88	-6.28
12-31-25	Consumer Staples	3.64	-2.23	6.96	6.96	-0.53	-3.91
12-31-25	Not Classified	0.02	0.00	-2.39	-2.39	0.70	0.33
3-31-26	iShares MSCI Emerging Markets ETF (EEM US)	100.00	-0.13	-0.13	29.65	15.10	4.47
3-31-26	Energy	4.31	10.53	10.53	25.74	15.73	12.01
3-31-26	Financials	21.77	-3.43	-3.43	17.31	15.80	8.99
3-31-26	Health Care	2.95	-3.89	-3.89	6.44	3.25	-6.94
3-31-26	Industrials	7.01	1.32	1.32	37.12	12.66	7.19
3-31-26	Information Technology	31.26	11.30	11.30	88.98	34.36	14.21
3-31-26	Materials	7.87	0.63	0.63	42.80	8.24	3.06
3-31-26	Real Estate	1.15	-10.59	-10.59	-6.29	-2.40	-10.66
3-31-26	Utilities	2.34	4.52	4.52	18.44	12.43	6.69
3-31-26	Communication Services	7.80	-15.18	-15.18	3.41	6.01	-2.78
3-31-26	Consumer Discretionary	10.03	-11.56	-11.56	-6.54	4.03	-7.96
3-31-26	Consumer Staples	3.45	-3.98	-3.98	0.56	-2.31	-4.10
3-31-26	Not Classified	0.05	0.00	0.00	0.25	-1.37	0.24
6-30-26	iShares MSCI Emerging Markets ETF (EEM US)	100.00	23.83	23.67	43.33	23.16	7.95
6-30-26	Energy	3.14	-9.26	0.30	7.22	8.53	7.18
6-30-26	Financials	18.70	6.76	3.10	10.37	16.13	9.46
6-30-26	Health Care	2.33	1.10	-2.84	-0.13	4.52	-9.40
6-30-26	Industrials	6.64	18.15	19.72	33.19	18.17	8.12
6-30-26	Information Technology	44.57	73.50	93.09	163.75	58.74	26.57
6-30-26	Materials	6.09	-4.46	-3.86	27.13	8.22	0.55
6-30-26	Real Estate	0.95	7.70	-3.70	-5.34	1.67	-8.46
6-30-26	Utilities	1.84	-0.76	3.73	9.60	10.45	6.00
6-30-26	Communication Services	5.95	-3.80	-18.41	-8.94	7.05	-3.85
6-30-26	Consumer Discretionary	7.11	-10.05	-20.45	-13.97	2.54	-10.58
6-30-26	Consumer Staples	2.60	-1.83	-5.74	-6.58	-2.87	-5.15
6-30-26	Not Classified	0.08	0.00	0.00	0.00	-1.37	0.25
