Date	Identifier	% End Wgt	Tot Rtn 1Q	Tot Rtn YTD	Tot Rtn 1Y	Tot Rtn 3Y (A)	Tot Rtn 5Y (A)
12-31-24	Invesco MSCI USA ETF (PBUS US)	100.00	2.79	25.07	25.07	8.60	14.56
12-31-24	Energy	3.25	-1.08	7.02	7.02	20.30	12.00
12-31-24	Financials	13.34	8.19	31.69	31.69	9.80	11.39
12-31-24	Health Care	10.11	-10.20	2.65	2.65	0.72	8.10
12-31-24	Industrials	8.37	-2.87	16.99	16.99	9.16	11.89
12-31-24	Information Technology	32.20	5.71	36.52	36.52	14.79	25.51
12-31-24	Materials	2.04	-11.42	0.75	0.75	-0.07	8.93
12-31-24	Real Estate	2.17	-7.61	5.05	5.05	-4.25	4.13
12-31-24	Utilities	2.23	-5.55	24.77	24.77	5.62	6.74
12-31-24	Communication Services	9.43	8.92	39.01	39.01	8.43	13.99
12-31-24	Consumer Discretionary	11.42	13.81	30.26	30.26	4.97	16.18
12-31-24	Consumer Staples	5.40	-3.26	14.46	14.46	4.15	8.50
12-31-24	Not Classified	0.04	0.92	3.15	3.15	1.81	5.03
3-31-25	Invesco MSCI USA ETF (PBUS US)	100.00	-4.52	-4.52	8.17	8.87	18.59
3-31-25	Energy	3.69	10.11	10.11	4.10	11.37	31.48
3-31-25	Financials	14.34	2.41	2.41	19.57	12.01	19.88
3-31-25	Health Care	11.23	6.14	6.14	0.26	3.81	12.34
3-31-25	Industrials	8.72	-0.33	-0.33	4.95	10.34	18.85
3-31-25	Information Technology	29.49	-12.73	-12.73	6.15	13.17	25.13
3-31-25	Materials	2.17	2.11	2.11	-5.53	1.31	16.29
3-31-25	Real Estate	2.36	3.74	3.74	10.03	-0.70	9.68
3-31-25	Utilities	2.44	4.88	4.88	23.92	5.87	11.10
3-31-25	Communication Services	9.21	-6.83	-6.83	12.79	10.66	16.74
3-31-25	Consumer Discretionary	10.41	-13.33	-13.33	7.38	3.55	17.71
3-31-25	Consumer Staples	5.93	5.25	5.25	12.05	6.31	12.78
3-31-25	Not Classified	0.00	0.98	0.98	3.58	2.14	5.39
6-30-25	Invesco MSCI USA ETF (PBUS US)	100.00	11.34	6.31	15.75	19.98	16.50
6-30-25	Energy	2.99	-8.22	1.06	-2.30	10.25	22.46
6-30-25	Financials	13.80	7.06	9.64	30.62	22.26	17.74
6-30-25	Health Care	9.36	-6.57	-0.83	-5.37	3.65	7.81
6-30-25	Industrials	8.77	13.02	12.65	22.05	21.44	18.08
6-30-25	Information Technology	32.96	23.68	7.94	16.17	31.87	23.44
6-30-25	Materials	1.98	2.92	5.09	2.69	8.61	11.69
6-30-25	Real Estate	2.12	-0.16	3.58	11.98	4.35	6.82
6-30-25	Utilities	2.31	4.40	9.50	23.35	9.33	11.41
6-30-25	Communication Services	9.83	18.88	10.76	22.48	27.04	16.33
6-30-25	Consumer Discretionary	10.52	12.27	-2.69	19.74	19.79	13.10
6-30-25	Consumer Staples	5.37	1.10	6.40	12.02	8.76	11.05
6-30-25	Not Classified	0.00	0.98	1.97	3.61	2.44	1.47
9-30-25	Invesco MSCI USA ETF (PBUS US)	100.00	8.12	14.95	18.15	25.14	16.18
9-30-25	Energy	2.92	5.71	6.83	5.68	11.18	29.33
9-30-25	Financials	13.29	3.33	13.30	22.58	25.23	17.25
9-30-25	Health Care	8.96	4.10	3.24	-7.29	6.97	7.43
9-30-25	Industrials	8.49	4.60	17.84	14.45	24.74	16.50
9-30-25	Information Technology	34.48	13.19	22.18	29.16	40.43	23.48
9-30-25	Materials	1.90	4.52	9.85	-2.69	12.96	9.91
9-30-25	Real Estate	2.00	2.52	6.19	-1.90	9.16	6.66
9-30-25	Utilities	2.29	7.45	17.66	11.13	14.16	11.73
9-30-25	Communication Services	10.22	12.41	24.50	35.60	38.04	16.98
9-30-25	Consumer Discretionary	10.64	9.05	6.12	20.78	21.33	11.10
9-30-25	Consumer Staples	4.80	-2.41	3.84	0.46	10.24	8.26
9-30-25	Not Classified	-0.01	1.02	3.01	3.96	2.70	1.68
12-31-25	Invesco MSCI USA ETF (PBUS US)	100.00	2.41	17.71	17.71	23.23	13.88
12-31-25	Energy	2.87	0.93	7.83	7.83	4.41	23.55
12-31-25	Financials	13.22	2.19	15.78	15.78	21.20	13.56
12-31-25	Health Care	9.59	11.10	14.70	14.70	6.39	8.01
12-31-25	Industrials	7.94	0.51	18.43	18.43	18.57	13.21
12-31-25	Information Technology	34.50	1.06	23.47	23.47	39.39	20.89
12-31-25	Materials	1.88	0.96	10.90	10.90	7.96	7.10
12-31-25	Real Estate	1.89	-3.13	2.87	2.87	6.55	4.70
12-31-25	Utilities	2.23	-1.65	15.72	15.72	10.39	9.88
12-31-25	Communication Services	10.79	6.82	32.99	32.99	41.96	15.13
12-31-25	Consumer Discretionary	10.51	0.57	6.73	6.73	26.05	8.43
12-31-25	Consumer Staples	4.58	0.14	3.99	3.99	6.18	6.88
12-31-25	Not Classified	0.00	0.62	3.64	3.64	2.84	1.81
3-31-26	Invesco MSCI USA ETF (PBUS US)	100.00	-4.52	-4.52	17.71	18.40	11.63
3-31-26	Energy	4.07	38.28	38.28	35.41	18.32	25.00
3-31-26	Financials	12.40	-9.73	-9.73	2.06	18.27	8.88
3-31-26	Health Care	9.59	-5.16	-5.16	2.48	5.96	6.27
3-31-26	Industrials	9.26	5.08	5.08	24.86	19.17	12.24
3-31-26	Information Technology	32.67	-9.39	-9.39	28.19	25.66	18.15
3-31-26	Materials	2.14	9.07	9.07	18.46	9.63	7.11
3-31-26	Real Estate	1.94	2.31	2.31	1.45	6.82	3.73
3-31-26	Utilities	2.47	7.97	7.97	19.13	14.55	11.01
3-31-26	Communication Services	10.39	-7.32	-7.32	32.31	30.16	11.80
3-31-26	Consumer Discretionary	9.87	-9.57	-9.57	11.35	15.61	5.78
3-31-26	Consumer Staples	5.20	7.96	7.96	6.67	8.62	8.19
3-31-26	Not Classified	0.00	0.70	0.70	3.35	2.91	1.95
6-30-26	Invesco MSCI USA ETF (PBUS US)	100.00	15.29	10.08	21.88	20.74	12.91
6-30-26	Energy	3.06	-13.44	19.69	27.71	13.15	18.91
6-30-26	Financials	11.61	9.06	-1.56	3.96	19.68	9.01
6-30-26	Health Care	9.05	8.59	2.99	19.12	7.95	6.15
6-30-26	Industrials	9.32	14.87	20.70	26.90	22.12	14.29
6-30-26	Information Technology	37.37	32.16	19.75	36.98	30.76	22.00
6-30-26	Materials	1.91	2.72	12.03	18.22	9.48	6.64
6-30-26	Real Estate	1.77	7.33	9.81	9.06	8.60	2.85
